2025-06-27 09:29:48,448 | INFO | Start creating a new auth key on DC2
2025-06-27 09:29:48,448 | INFO | Connecting...
2025-06-27 09:29:48,597 | INFO | Connected! Production DC2 - IPv4
2025-06-27 09:29:50,423 | INFO | Done auth key exchange: DhGenOk
2025-06-27 09:29:50,423 | INFO | Disconnected
2025-06-27 09:29:50,453 | INFO | Connecting...
2025-06-27 09:29:50,594 | INFO | Connected! Production DC2 - IPv4
2025-06-27 09:29:50,611 | INFO | NetworkTask started
2025-06-27 09:29:51,284 | INFO | Session initialized: Layer 158
2025-06-27 09:29:51,284 | INFO | Device: CPython 3.12.10 - Pyrogram 2.0.106
2025-06-27 09:29:51,284 | INFO | System: Windows 11 (en)
2025-06-27 09:29:51,299 | INFO | Session started
2025-06-27 09:29:51,302 | INFO | PingTask started
2025-06-27 09:29:51,474 | INFO | PingTask stopped
2025-06-27 09:29:51,474 | INFO | NetworkTask stopped
2025-06-27 09:29:51,474 | INFO | Disconnected
2025-06-27 09:29:51,476 | INFO | Session stopped
2025-06-27 09:29:51,497 | INFO | Start creating a new auth key on DC5
2025-06-27 09:29:51,498 | INFO | Connecting...
2025-06-27 09:29:51,614 | INFO | Connected! Production DC5 - IPv4
2025-06-27 09:29:53,369 | INFO | Done auth key exchange: DhGenOk
2025-06-27 09:29:53,370 | INFO | Disconnected
2025-06-27 09:29:53,391 | INFO | Connecting...
2025-06-27 09:29:53,486 | INFO | Connected! Production DC5 - IPv4
2025-06-27 09:29:53,486 | INFO | NetworkTask started
2025-06-27 09:29:53,913 | INFO | Session initialized: Layer 158
2025-06-27 09:29:53,913 | INFO | Device: CPython 3.12.10 - Pyrogram 2.0.106
2025-06-27 09:29:53,913 | INFO | System: Windows 11 (en)
2025-06-27 09:29:53,913 | INFO | Session started
2025-06-27 09:29:53,913 | INFO | PingTask started
2025-06-27 09:29:54,282 | INFO | Started 12 HandlerTasks
2025-06-27 09:30:13,331 | ERROR | 'NoneType' object has no attribute 'id'
Traceback (most recent call last):
  File "C:\Users\jain computer\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pyrogram\dispatcher.py", line 240, in handler_worker
    await handler.callback(self.client, *args)
  File "d:\New folder\bot.py", line 265, in start_message
    logging.info(f"/start by {message.from_user.id} ({message.from_user.first_name})")
                              ^^^^^^^^^^^^^^^^^^^^
AttributeError: 'NoneType' object has no attribute 'id'
2025-06-27 09:30:23,731 | INFO | Stop signal received (SIGINT). Exiting...
2025-06-27 09:30:23,741 | INFO | Stopped 12 HandlerTasks
2025-06-27 09:30:23,742 | INFO | PingTask stopped
2025-06-27 09:30:23,742 | INFO | NetworkTask stopped
2025-06-27 09:30:23,742 | INFO | Disconnected
2025-06-27 09:30:23,744 | INFO | Session stopped
2025-06-27 09:30:40,756 | INFO | Connecting...
2025-06-27 09:30:40,884 | INFO | Connected! Production DC5 - IPv4
2025-06-27 09:30:40,885 | INFO | NetworkTask started
2025-06-27 09:30:41,696 | INFO | Session initialized: Layer 158
2025-06-27 09:30:41,696 | INFO | Device: CPython 3.12.10 - Pyrogram 2.0.106
2025-06-27 09:30:41,696 | INFO | System: Windows 11 (en)
2025-06-27 09:30:41,696 | INFO | Session started
2025-06-27 09:30:41,706 | INFO | PingTask started
2025-06-27 09:30:42,098 | INFO | Started 12 HandlerTasks
2025-06-27 09:30:55,393 | INFO | Connecting...
2025-06-27 09:30:55,488 | INFO | Connected! Production DC5 (media) - IPv4
2025-06-27 09:30:55,488 | INFO | NetworkTask started
2025-06-27 09:30:55,982 | INFO | Session initialized: Layer 158
2025-06-27 09:30:55,982 | INFO | Device: CPython 3.12.10 - Pyrogram 2.0.106
2025-06-27 09:30:55,983 | INFO | System: Windows 11 (en)
2025-06-27 09:30:55,983 | INFO | Session started
2025-06-27 09:30:55,994 | INFO | PingTask started
2025-06-27 09:30:56,520 | INFO | PingTask stopped
2025-06-27 09:30:56,522 | INFO | NetworkTask stopped
2025-06-27 09:30:56,522 | INFO | Disconnected
2025-06-27 09:30:56,523 | INFO | Session stopped
2025-06-27 09:31:11,656 | INFO | NetworkTask stopped
2025-06-27 09:31:11,659 | INFO | PingTask stopped
2025-06-27 09:31:11,659 | INFO | Send exception: ConnectionResetError Connection lost
2025-06-27 09:31:11,660 | INFO | [1] Retrying "channels.DeleteMessages" due to: Connection lost
2025-06-27 09:31:11,660 | INFO | Disconnected
2025-06-27 09:31:11,660 | INFO | Session stopped
2025-06-27 09:31:11,661 | INFO | Connecting...
2025-06-27 09:31:12,755 | INFO | Connected! Production DC5 - IPv4
2025-06-27 09:31:12,756 | INFO | NetworkTask started
2025-06-27 09:31:12,998 | INFO | Connecting...
2025-06-27 09:31:13,001 | INFO | Discarding packet: The msg_id is lower than all the stored values
2025-06-27 09:31:13,002 | INFO | Send exception: ConnectionResetError Connection lost
